"","x"
"865","EVA1C"
"866","KLHL1"
"867","LINC01442"
"868","NAP1L4P3"
"869","HNF4GP1"
"870","RPL12P34"
"871","HMGN2P39"
"872","PLA2G12AP2"
"873","ZDHHC20P4"
"874","SCEL"
"875","EXOSC3P1"
"876","RNA5SP490"
"877","CFAP298"
"878","OR7E23P"
"879","CFAP298-TCP10L"
"880","TPMTP1"
"881","RPS8P3"
"882","NPM1P1"
"883","ANKRD12"
"884","TCP10L"
"885","COX4I1P2"
"886","FGFR1OP2P1"
"887","NPM1P22"
"888","NIPA2P5"
"889","RPL31P53"
"890","RPL18AP17"
"891","SPATA2P1"
"892","HSPD1P8"
"893","RPL21P111"
"894","MTCL1P1"
"895","FREM2"
"896","BTG3"
"897","ARK2N"
"898","CTAGE11P"
"899","PRR20B"
"900","HNRNPA1P18"
"901","TBC1D4"
"902","SUMO3"
"903","ZBTB7C-AS1"
"904","SKA1"
"905","SAMSN1"
"906","VDAC1P12"
"907","RPS3AP52"
"908","CTAGE16P"
"909","LINC00333"
"910","PRR20D"
"911","MTCO2P2"
"912","SINHCAFP1"
"913","SPRY2"
"914","RPS24P18"
"915","MAP1LC3P"
"916","RPRD1A"
"917","PRR20E"
"918","UFM1"
"919","MTND4P1"
"920","MTCO2P3"
"921","OR7E111P"
"922","KLF5"
"923","OR9G1"
"924","RIT2"
"925","OR9G9"
"926","OR9G3P"
"927","SIM2"
"928","OR9G4"
"929","OR9G2P"
"930","OR5G1P"
"931","OR5G4P"
"932","OR5G5P"
"933","OR5G3"
"934","LINC02735"
"935","RPL31P54"
"936","CBY2"
"937","CTAGE1"
"938","HLCS-IT1"
"939","RNA5SP491"
"940","DPRXP5"
"941","MRPL20P1"
"942","UBE2D3P4"
"943","RIPPLY3"
"944","POLR3GP2"
"945","WASF3-AS1"
"946","HRH4"
"947","LINC00377"
"948","BCAS2P3"
"949","RABEPKP1"
"950","RNU6-696P"
"951","UBAC2"
"952","RRP1B"
"953","L3MBTL4-AS1"
"954","MAPK4"
"955","RFC3"
"956","PDXK"
"957","ATP7BP1"
"958","ARK2C"
"959","ANKRD26P2"
"960","POU4F1"
"961","RPSAP57"
"962","PSMD10P3"
"963","ZBTB7C-AS2"
"964","SPATA13"
"965","ST8SIA3"
"966","RNF152"
"967","CCDC68"
"968","RPLP0P11"
"969","SMAD2"
"970","TMEM97P1"
"971","RRP1"
"972","ACTR3BP7"
"973","ZNF73P"
"974","BNIP3P2"
"975","ZNF72BP"
"976","MED15"
"977","NHLRC3"
"978","GRK1"
"979","MYL6P1"
"980","AGPAT3"
"981","OLFM4"
"982","ARF4P3"
"983","CCT5P2"
"984","PRR20A"
"985","LINC00552"
"986","LINC01078"
"987","IPO5"
"988","RAB27B"
"989","TXNL1"
"990","MRPS5P4"
"991","RNU6-859P"
"992","RNU6-1150P"
"993","TRAPPC10"
"994","CTIF"
"995","TOLLIP"
"996","TOLLIP-DT"
"997","LINC02689"
"998","BRSK2"
"999","DUSP8"
"1000","KRTAP5-AS1"
"1001","KRTAP5-1"
"1002","ARIH2P1"
"1003","KRTAP5-2"
"1004","KRTAP5-3"
"1005","GAREM1"
"1006","KRTAP5-4"
"1007","KRTAP5-5"
"1008","FAM99A"
"1009","FAM99B"
"1010","LINC02708"
"1011","MOB2"
"1012","HMGN1P31"
"1013","RPL7AP66"
"1014","H2AZP1"
"1015","RPS10P30"
"1016","RPIAP1"
"1017","PWP2"
"1018","OSM"
"1019","SNRPFP3"
"1020","ZBTB7C"
"1021","DIAPH3"
"1022","ZNRF3-IT1"
"1023","NCF4"
"1024","DYRK1A"
"1025","ACO2P1"
"1026","CACNA1I"
"1027","BOD1L2"
"1028","FBXO15"
"1029","WDR7-OT1"
"1030","CDH7"
"1031","SRSF1P1"
"1032","RPS26P47"
"1033","PCDH17"
"1034","SP3P"
"1035","RPL21P110"
"1036","LINC00440"
"1037","RPS12P24"
"1038","HIGD1AP2"
"1039","HNRNPA1P31"
"1040","SERTM1"
"1041","ELOCP23"
"1042","MTND5P3"
"1043","SLC7A1"
"1044","PRDM15"
"1045","TPGS2"
"1046","SLC15A1"
"1047","SERTAD4-AS1"
"1048","SERTAD4"
"1049","ISX"
"1050","ST13P19"
"1051","HHAT"
"1052","LIF-AS2"
"1053","ENTHD1"
"1054","LIF"
"1055","CBX7"
"1056","VENTXP2"
"1057","ATP6V1G1P7"
"1058","FOXO1"
